Name,Address,Latitude,Longitude,Homepage,Description
青い池,〒071-0235 北海道上川郡美瑛町白金,43.49349015,142.61409947894413,,「日本で最も美しい村」連合に名を連ねる美瑛町にある池。特殊な自然環境によって池の水面が青色に見える不思議な場所。幻想的に輝く青色（ビエイブルー）と立ち枯れた無数のカラマツが合わさり、驚くほど美しい風景を見せてくれる。春は緑がかったグリーンブルー、初夏は明るいライトブルーと、季節によって違った色を見れるのも特徴。紅葉を映し出す秋の水面や、池が凍結する冬シーズンなど、四季折々の見どころがたくさん。期間によっては池のライトアップを楽しめる。
阿寒湖,〒085-0467 北海道釧路市阿寒町阿寒湖温泉,43.455953199999996,144.09924305383902,http://www.lake-akan.com,北海道東部、釧路市「阿寒国立公園」にある湖。雄阿寒岳のふところ。湖上には大小の島々が浮かびマリモ伝説で有名。北海道東部を代表する観光地。特別天然記念物のマリモ(毬藻)が有名だが、ヒメマスなどが生息することでも有名。
十勝川温泉,〒080-0263 北海道河東郡音更町十勝川温泉,42.950583,143.298131,http://www.tokachigawa.net/,"十勝川温泉は、日本でも珍しい&quot;モールの湯&quot;が湧出しています。遥か太古の時代、ここ十勝川河畔は、葦などの植物が自生していました。それらの植物が長い時間をかけて堆積し、できあがった亜炭層を通って湧き出る温泉が、植物性の有機物を多く含む&quot;モールの湯&quot;なのです。
一般的な鉱物性温泉に比べて世界でも希少な泉質で、資源が限られている貴重な温泉資源です。数ある北海道内の温泉地に先駆け、平成16年に北海道遺産として選定されました。"
ノーザンホースパーク,〒059-1361 北海道苫小牧市美沢114-7　ノーザンホースパーク,42.7760993,141.73957007827528,,ノーザンホースパークは、北海道苫小牧市にある馬のテーマパークです。観光馬車や観光引馬といった馬とのふれあい体験をはじめ、日本初のポニーショー、サイクリングやミニスノーモービルといった各種アクティビティなど、北海道の自然を活かした多彩なコンテンツが大集合しています。生息している馬たちは約12種・80頭。引退した競走馬たちも揃っているため、競馬ファンからも人気を集めています。その他、馬の気持ちを学べる博物館、有名競走馬たちの記念品が展示されているホースギャラリーなどもおすすめです。
ファーム富田,〒071-0703 北海道空知郡中富良野町字中富良野基線北15号,43.4172981,142.4254765579896,http://www.farm-tomita.co.jp/,ラベンダーをはじめ、ポピー、コスモス、カスミ草などが７、８月に花畑に広がる。園内には休憩所の「ポプリの舎」、香水の調合を見学（要予約）できる「香水の舎」、「花人の舎」、「蒸留の舎」、「ポピーの舎」などがある。おみやげ品も売店に多数ある。
小樽運河,〒047-0007 北海道小樽市港町4番3号,43.2013525,141.0008939,https://www.city.otaru.lg.jp/docs/2020100900367,異国情緒溢れる港町小樽に流れる運河。北海道開拓の玄関口として発展した歴史があり、レトロな石造りの倉庫群や運河クルーズなど、当時の面影を残す建物・文化が多い。活気溢れる小樽境町通りには、ガラス工芸品の老舗「北一硝子」や、北海道スイーツの名店「ルタオ」の本店など、無数のショップが軒を連ねる。新鮮魚介を味わえる「小樽三角市場」も人気。運河沿いの散策路を照らすガス灯は夕暮れ時から点灯。小樽を訪れたら絶対に見ておきたいノスタルジックな風景が広がる。
摩周湖,〒088-3200 北海道川上郡弟子屈町,43.5789373,144.51704170062573,https://www.masyuko.or.jp/introduce/mashu/,"摩周ブルーに輝く神秘の湖
摩周湖は、アイヌ語で「カムイトー」。神の湖と呼ばれる、神秘の場所です。展望台に立つと、吸い込まれそうなほどの深い青色の湖水が広がり、雲の動きによって刻々とその表情を変えていきます。この青は「摩周ブルー」と呼ばれ、世界でも一級の透明度を誇る湖水に、空の青が映りこんで生まれる独特の色。風のない日はその青さがいっそう際立ちます。
湖の周囲は急峻な壁になっていて、湖面に下りることはできません。摩周湖周辺は、国立公園の特別保護地区。人々を寄せつけぬ美しい湖の神秘は、悠久の時を経て今なお多くの人を惹きつけてやみません。"
羊蹄山,北海道虻田郡真狩村,42.8269572,140.8067401,,北海道民から蝦夷富士として親しまれる日本百名山のひとつ。標高1898ｍの成層火山で、頂上には周囲約2kmにも及ぶすり鉢状の巨大な火山がある。夏の登山シーズンには、標高1700ｍ以上の場所に100種類以上の高山植物が花を咲かせる。倶知安・真狩・喜茂別・京極と4つの登山コースがあり、中でも倶知安コースの道中にある高山植物地帯は、国の特別天然記念物に指定されている。
層雲峡,〒078-1701 北海道上川郡上川町字層雲峡,43.727881,142.951303,,北海道中央部に位置する秘境の峡谷。最初にこの地を発見したアイヌ民族が「神々が遊ぶ庭」と言い伝えるほどの神秘的かつ厳しい大自然が広がる。24kmにも渡って続く断崖絶壁「銀河・流星の滝」や、巨大な岩壁が並ぶ絶景スポット「大函」など、見どころが盛りだくさん。自然アドベンチャーや渓流ラフティングなどのアウトドアレジャーも人気が高い。山麓の市街地には北海道で有数の規模を誇る「層雲峡温泉」があり、数多くの温泉旅館や飲食店が点在している。
円山公園,〒064-0959 北海道札幌市中央区宮ケ丘,35.0036218,135.7814743897062,http://www.sapporo-park.or.jp/maruyama/,札幌市にある公園。約70haの広大な敷地内には、天然記念物に指定されている円山（まるやま）原始林が残され、自然が豊か。桜の名所として知られており、春にはエゾヤマザクラ、ソメイヨシノが咲き誇る。秋の紅葉も見事で、あたり一面、赤や黄色の絨毯で覆われる。北海道、札幌開拓に所縁のある銅像や石碑も見受けられる。野球場や陸上競技場といったスポーツ施設も整備され、市民の憩いの場として多くの人で賑わう。北海道内で初の動物園、円山動物園も敷地内にある。
札幌ステラプレイス,〒060-0005 北海道札幌市中央区北5条西2丁目,43.0680462,141.350991,http://www.stellarplace.net,JR札幌駅の南口に直結した複合商業施設。ファッション・アウトドア・キャラクターグッズ・生活雑貨・コスメなど、個性豊かな200店舗以上のお店が軒を連ねる。館内にはおしゃれなカフェや映画館、屋上広場などがあり、飽きずに1日中買い物を楽しめるスポットが充実している。寿司・海鮮丼・炭火焼き豚丼・スープカレーなど、北海道のご当時グルメを味わえるレストラン街は人気が高い。屋内外に設置されたユニークなアート作品も見どころのひとつだ。
北海道庁旧本庁舎,〒060-8588 北海道札幌市中央区北３条西６丁目,43.06396555,141.34802416254777,http://www.pref.hokkaido.lg.jp/,1888年に建設された赤レンガの旧本庁舎は、国の重要文化財で北海道を代表する歴史的建造物。北海道開拓が進む明治の世で、農業や建築、土木といった先進技術を学ぶために世界へと飛び立った技術者たちの技術が集結している。設計は、アメリカ・レンセラー工科大学で学んだ北海道庁技師の平井晴二郎氏。レンガは札幌近郊で焼かれたものを使用し、フランス積みを採用。現在に至るまで頑丈で美しい姿を魅せているが、老朽化は免れず、現在はリニューアル工事を実施中。
五稜郭タワー,〒040-0001 北海道函館市五稜郭町43-9,41.7945919,140.75395865506715,http://www.goryokaku-tower.co.jp/,北海道函館市にある五稜郭（ごりょうかく）に隣接する展望塔。地上から90mの高さにある展望台からは、星形の城郭が特徴的な五稜郭はもちろん、函館山や津軽海峡、横津連峰の山並みを一望できる。タワー内には、五稜郭の歴史を学べる展示スペース「五稜郭歴史回廊」やオリジナルグッズが揃う売店、カフェスタンドなどが点在。展望台の形状と塔体の断面は、五稜郭にあやかった星形になっており、隠れた見どころのひとつとして知られる。
宗谷岬,〒098-6752 北海道稚内市宗谷岬,45.5228863,141.9366,,晴れた日には海の向こうの樺太島を一望できる、日本最北端の地として知られる岬。周辺は宗谷岬公園として整備されており、岬の突端に建てられた「日本最北端の地の碑」には、全国から多くの観光客が集まる。夕刻には、水平線に沈む夕日とライトアップされ浮かび上がる碑との幻想的なコラボレーションも見もの。岬の南側に広がる「宗谷丘陵」は、360度の自然絶景を楽しめる、なだらな丘陵地帯で大人気のスポット。
中島公園,〒064-0931 北海道札幌市中央区中島公園,43.043928199999996,141.3541976643338,http://www.sapporo-park.or.jp/nakajima/,藻岩山を背景に市のほぼ中心部に位置しながらも、水と緑が豊かな憩いの場として親しまれている公園。　「日本の都市公園１００選」にも認定されている。　「菖蒲池」をはじめ、国の重要文化財「豊平館」や「八窓庵」などがある。
旭岳,北海道上川郡東川町旭岳温泉,43.663586,142.8541052,http://town.higashikawa.hokkaido.jp/,大雪山連邦の主峰にして北海道の最高峰。標高2291mを誇る山道には多種多様な高山植物が生息しており、7月下旬には色とりどりに咲き乱れる花々を見られる。登山シーズンは6月下旬から10月初旬頃まで。「大雪山旭岳ロープウェイ」を利用すれば手軽にトレッキングを楽しめるとあって、登山初心者にも人気が高いスポット。9月中旬には日本で一番早く紅葉シーズンを迎え、大雪山国立公園中が秋色に染まる圧巻の姿を見られる。
屈斜路湖,〒088-3331 北海道川上郡弟子屈町字美留和,43.61656955,144.31053063330174,https://www.masyuko.or.jp/introduce/kussharoko/,"自然豊かな国内最大のカルデラ湖
屈斜路の語源は、アイヌ語で湖や沼の出口を意味する「クッチャロ（のど元）」に由来します。世界でも有数の大きさを誇る屈斜路カルデラに位置する、国内最大のカルデラ湖です。
火山活動から生まれた湖だけあって、湖畔には多くの温泉が湧出。野趣あふれる露天風呂が点在するほか、蒸気の噴出する珍しい場所、温泉熱を活用した農業用ハウスや大型ホテルなどもあります。
屈斜路湖の魅力は何といっても圧巻のスケールと親しみやすさ。北海道らしい雄大な風景が広がりながらも、湖畔を訪れる人々を優しく内包する大らかさが多くの人を惹きつけます。また、巨大な湖にも関わらず水がとても美しいことも、特徴のひとつ。水源の8割が湧き水であるとも言われています。美しい水を求めて、夏にはキャンプやカヌー、ヨットなどのウォータースポーツを楽しむ人々が、冬にはシベリアからの旅人であるたくさんの白鳥たちが、この湖に集います。"
二条市場,〒060-0052 北海道札幌市中央区南３条東１〜２,43.0582548,141.35846720113446,http://www.welcome.city.sapporo.jp/find/shops/nijo_fish_market/,明治初期に、石狩浜の漁師が新鮮な魚を売り始めたのがきっかけで開設したといわれる二条市場。かつては創成川の対岸、西1丁目から東2丁目にかけて、ずらりと魚の市場が並び、次第にそば屋や居酒屋、青果店などが集まり現在の基礎となった。一世紀以上の時間が流れた今も、市民の台所として健在。街の中心部に位置する立地の良さも手伝い、カニやホタテなど北海道土産を求める観光客でにぎわう。また、市場内に個性豊かな飲食店が多数入居する「のれん横丁」などの雑居ビルがあり、今や円山、狸小路にならぶ人気のグルメスポットになっている。
大内宿,〒969-5207 福島県南会津郡下郷町大字大内,37.3334588,139.86088762079373,http://ouchi-juku.com/,会津若松と日光今市を結ぶ下野街道の宿場町として整備され、今も約500メートルの往還に江戸の風情が残っています。寄棟造りの建物が道路と直角に整然と並べられていること特徴。昭和56年4月、国の重要伝統的建造物群保存地区に選定されました。
弘前城（本丸・北の郭）,〒036-8356 青森県弘前市下白銀町1-1,40.606075,140.466019,http://www.hirosakipark.or.jp/,"弘前藩祖為信（１５５０〜１６０７年）が築城を計画し、二代藩主信枚が慶長１５年（１６１０年）縄張りをし、翌１６年（１６１１年）にほぼ完成した海抜５０ｍの平山城である。明治維新まで津軽家の居城であった。１８７１年廃城時の原形をとどめている貴重な城。現在は城跡に弘前公園ができ、一般公開されている。現在、６つの郭の全域が国指定史跡に、また、天守閣、二の丸の東門・南門・辰巳槽・未申櫓・丑寅櫓、三の丸の追手門・東門、北の郭の北門（亀甲門）が国の重要文化財に指定されている。
天守は石垣修理のため、平成27年8月から曳屋されており、元の位置には令和3年ころに戻る予定である。"
田沢湖,秋田県仙北市西木町・田沢湖,39.72483705,140.6632728430334,http://www.city.semboku.akita.jp/,田沢湖と西木町にまたがる。秋田県の中東部にある湖。最大深度は423.4m。水深日本一を誇るカルデラ湖。深さがあるため冬でも凍らない。美しい辰子という娘が、人から龍に姿を変えた「辰子伝説」が残る神秘的な湖。湖畔には、金色に輝く「辰子像」が立っており、たくさんの観光客が記念写真を撮っている。
蔵王温泉,〒990-2301 山形県山形市蔵王温泉,38.167662,140.396972,http://www.zao-spa.or.jp/,"奥羽三高湯の1つ。泉質：酸性・含硫黄-アルミニウム-硫酸塩・塩化物温泉（酸性泉）。特に皮膚に効くとされ、「子どもが丈夫に育つ湯」とか、「美肌の湯」とも言われ地元にも親しまれている。

蔵王温泉街には、上湯・下湯・川原湯の3箇所の共同浴場（6時〜22時、無休）がある。また、温泉街の一番奥に造られている大露天風呂は、4段からなる階段式で、すべてを合わせると100畳もの広さになる。上流の2段が女性用、下流の2段が男性用。合計で200名が同時に入浴できる。（11月下旬〜4月中旬頃までの冬期間は休業。）"
羽黒山,〒997-0211 山形県鶴岡市羽黒町手向,38.1122948,138.4065247,http://www.tsuruokakanko.com/haguro/midokoro/haguro.html,出羽三山は、月山、羽黒山、湯殿山の総称であり、古くから山岳修験の山として知られている。開山は約1、400年前、第32代崇峻天皇の皇子である蜂子皇子が三本足の霊烏に導かれ、羽黒山に登拝し、羽黒権現を獲得、山頂に祠を創建したのが始まりとされている。皇子はさらに月山権現と湯殿山権現を感得し、三山の開祖となった。以後、羽黒派古修験道として全国に広がった。
仙台うみの杜水族館,〒983-0013 宮城県仙台市宮城野区中野4-6,38.271056200000004,140.98044901852825,,仙台うみの杜水族館は、「いのちきらめく、うみの杜。」をキャッチコピーに、300種5万点の生物を展示している水族館です。施設内には大小合わせて約100基の展示水槽があり、三陸の海をはじめ日本や世界の海を表現。三陸の魚たちが悠々と泳ぐ大水槽や、東北最大級のイルカ・アシカのパフォーマンス、360°大パノラマプロジェクションマッピングなど、多彩な楽しみが用意されています。また、バンドウイルカに触れられる「イルカタッチ＆フォト」、ペンギンたちにごはんをあげる「ペンギンフィーディングタイム」といった各種ふれあい体験、カキ殻のワークショップといった体験型プログラムも豊富です。
スパリゾートハワイアンズ,〒972-8326 福島県いわき市常磐藤原町蕨平50,36.9931068,140.81571908328885,,"スパリゾートハワイアンズは、映画「フラガール」のモデルになった大型レジャー施設です。施設内には、4つのホテルや南国ムードあふれる全天候型のプール、3階から5階まで吹き抜けになったおしゃれな屋内スパ、12種24浴槽のバラエティに富んだお風呂が満喫できる男女別の大浴場、江戸時代の街並と湯屋をモチーフに江戸情緒を再現した温泉施設、さらにハワイの踊りやパフォーマンスが見られるエンターテインメントショーコーナーなどがあります。スパリゾートハワイアンズが人気なのは、人々に感動を与える歴史があるからです。スパリゾートハワイアンズを訪れる際は、1度映画「フラガール」を鑑賞してから足を運ぶとより一層楽しめます。スパリゾートハワイアンズへは湯本駅から無料送迎シャトルバスが運行しているほか、東京・大阪・京都・新潟などからバスも出ており、難しい移動をすることなくアクセスできます。
アソビューでは、スパリゾートハワイアンズのお得なクーポンを販売中。通常大人3,500円の入場料が最大20%割引で2,800円、入場料+スライダー乗り放題プランは大人5,950円のところ最大27%割引で4,450円となります。また、スパリゾートハワイアンズの割引チケットはスマホでの事前購入となるので、入り口でスマホを見せるだけとスムーズに入場できます。スパリゾートハワイアンズのお得なクーポンを使い、ハワイの雰囲気を感じながら思いっきり遊びましょう！"
鶴ヶ城,〒965-0873 福島県会津若松市追手町1-1,37.48773525,139.92976605913537,,福島県会津若松市に位置する「鶴ヶ城」は、約630年前に作られた地元のシンボルです。正式には「若松城」という名を持ち、1868年に起こった戊辰戦争の際には、新政府軍の猛攻に耐えた「難攻不落の名城」としても有名。赤瓦の5層の天守閣がとても美しい、日本百名城の一つです。ぜひ歴史を体感しにいらしてください。
秋保温泉,〒982-0241 宮城県仙台市太白区秋保町湯元,38.2699764,140.7614193,http://akiusato.jp/,第29代欽明天皇（531年〜539年）が小瘡（皮膚病）を患った時、秋保から運ばせた湯で湯浴みしたところそれが完治したと云われ、その効能を賞賛し「御湯」の称号をさずかったとされる。以後、信濃、犬養の湯とともに「日本三御湯」と称され、日本中から湯治客を集めた。伊達政宗公も度々おとずれ疲れを癒した記録も残っており、雄大な自然と湯を兼ね備えた秋保温泉は、古くから保養の地として人々に親しまれてきた歴史を持つ。
鶴岡市立加茂水族館,〒997-1206 山形県鶴岡市今泉字大久保657-1,38.76164665,139.72469842674036,http://kamo-kurage.jp/,"鶴岡市立加茂水族館では、魅力的な水生生物たちとの出会いが待っています。その中でも最大の魅力は、なんといっても展示種類数が世界一のクラゲたちでしょう。鮮やかな色と形を持つ、およそ60種類以上のクラゲが優雅に水中を舞いながら漂っています。水槽を眺めているだけで、心が落ち着き、日々の喧騒を忘れることができます。

また館内では、飼育職員による解説プログラムや、クラゲに関する学習・体験プログラムなども実施しています。これらのプログラムを通じて、生物の生態や水族館の仕事について理解を深めることができます。加えて、家族で楽しめる各種イベントも開催しており、大人から子供までが楽しめる空間になっています。

一方、クラゲラーメンやクラゲアイスといった、ユニークなクラゲグルメも話題で、観光の楽しみの一つともなっています。鮮やかなクラゲたちを見ながら、ひと味違う料理を味わう時間も、きっと特別な体験になることでしょう。

加茂水族館オリジナルのクラゲグッズや、地元山形の特産品などを取り扱うショップもあり、訪れた記念やお土産品として購入することもできます。"
奥入瀬渓流,〒034-0301 青森県十和田市大字奥瀬,40.5746171,140.9791052,,十和田八幡平国立公園の中にあり、十和田湖から流出する唯一の河川で、十和田湖の子ノロから焼山までの約14kmの流れが、奥入瀬渓流とされ、千変万化の渓流美を構成し、四季を通しての景勝地である。渓流には遊歩道が整備されており、渓流沿いにはいくつもの滝が点在する。十和田湖観光には欠かせない散策ポイント。渓流沿いの遊歩道では4時間半くらいのトレッキングが楽しめる。豊かな樹木や大小の滝、巨大な岩や切り立った崖などが景観に彩りを加える。新緑や紅葉の時期は、特に美しい景観をみせる。1928年に天然記念物に指定されている。
環境水族館アクアマリンふくしま,〒971-8101 福島県いわき市小名浜字辰巳町50,36.94223,140.90126,,アクアマリンふくしまは、東北最大の楽しく学べる体験型水族館です。ガラスに覆われた屋根からは太陽の光が降り注ぎ、美しく輝く魚たちを見ることができます。また、本物の植物を展示し、生き物が生息する環境を再現しているのも特徴です。
休暇村乳頭温泉郷,〒014-1201 秋田県仙北市生保内字駒ヶ岳2-1,39.8007643,140.79501786897183,,乳頭山麓に点在する乳頭温泉郷の宿のひとつである「休暇村 乳頭温泉郷」。四季折々のブナの森に囲まれながら、まったり温泉をお楽しみいただけます。ご宿泊、日帰り、ランチ利用など様々なおもてなしをご用意。ブナの森を散策できるアクティビティ体験もありますよ。新しい発見と出会いを見つけに、ぜひいらしてください。
恐山,〒035-0021 青森県むつ市田名部宇曽利山,41.3169493,141.0876763,,貞観4年（862年）に慈覚大師によって開山され、天台宗の修験道場として栄えたが、いったん廃寺となり、14世紀に曹洞宗円通寺によって再興された。風車がカラカラと回り、荒々しい岩場の合間から硫黄の臭いが立ちこめる様子は、地獄に、宇曽利山湖をとりまく白浜は極楽に見立てられている。夏の恐山大祭は多くの参詣者でにぎわう。
猪苗代湖,福島県耶麻郡猪苗代町猪苗代湖地区,37.47330215,140.0988943933994,,"全国で4番目に広い猪苗代湖。
郡山市・猪苗代町・会津若松市にまたがる。
全国有数のきれいな水質と透明度で別名「天鏡湖」と呼ばれている。
湖水浴やキャンプ、バーベキュー、ウォータースポーツ、湖上遊覧などが楽しめる。"
龍泉洞,〒027-0501 岩手県下閉伊郡岩泉町岩泉字神成1-1,42.7800528,129.3259895,http://www.iwate-ryusendo.jp,日本三大鍾乳洞の一つで、洞内に住むコウモリとともに国指定天然記念物を受けている。奥から湧き出る清水が数カ所に渡って深い地底湖を形成しており、第三地底湖は水深98m。なお、未公開の第四地底湖は水深120m（日本一）。入口から直線的の伸びる神秘的な洞窟空間や、透明度の高い水を豊富にたたえ「ドラゴンブルー」の輝きを持つ地底湖が見どころになっています。
秋田市大森山動物園〜あきぎんオモリンの森〜,〒010-1654 秋田県秋田市浜田字潟端154,39.671967,140.074493,http://www.city.akita.lg.jp/zoo/index.html,"""昭和44年、日本海に面し秋田市が一望できる大森山（標高約123m）に、公園面積約70haの「子どもの国」が計画されました。市中心部から南西約8km。その北西部一角の約8.8haが動物園として造成されました。そして昭和48年9月1日、「秋田市大森山動物園」として開園しました。

園内はさまざまな種類の樹木や草花に包まれ、中心部には、湧水性の「塩曳潟（しおひきがた）」（2.01ha）を有する特徴的な地形となっています。 飼育動物については、約100種600点の動物を飼育展示しております。その中には、市制100周年記念事業として平成3年度（1991）に導入されたゾウ、キリンなども含まれております。

当動物園は、年間約27万人の人々が訪れ、子どもからお年寄りまで県内外を問わず親しまれております。"""
あぶくま洞,〒963-3601 福島県田村市滝根町菅谷字東釜山1,37.3447694,140.6728989,,"あぶくま洞は、福島県田村市にある全長600mの鍾乳洞です。洞内にはおよそ8,000万年という悠久の時が創り出した造形美が広がり、東洋一と言われる多彩な鍾乳石をご堪能いただけます。鍾乳石はそれぞれ幻想的にライトアップされており、日本の鍾乳洞では初となる舞台演出用の調光システムを取り入れた「月の世界」をはじめ、クリスタルカーテンやリムストーンなど、見どころ盛りだくさんです。なお、コースは600mを約40分かけて歩く「一般コース」と、120mを約10分で進む「探検コース」の2種類から選べます。"
